home,away,home_goals,away_goals,date,league
man united,fulham,1,0,2024-08-16,Premier League
ipswich,liverpool,0,2,2024-08-17,Premier League
arsenal,wolves,2,0,2024-08-17,Premier League
everton,brighton,0,3,2024-08-17,Premier League
newcastle,southampton,1,0,2024-08-17,Premier League
nott'm forest,bournemouth,1,1,2024-08-17,Premier League
west ham,aston villa,1,2,2024-08-17,Premier League
brentford,crystal palace,2,1,2024-08-18,Premier League
chelsea,man city,0,2,2024-08-18,Premier League
leicester,tottenham,1,1,2024-08-19,Premier League
brighton,man united,2,1,2024-08-24,Premier League
crystal palace,west ham,0,2,2024-08-24,Premier League
fulham,leicester,2,1,2024-08-24,Premier League
man city,ipswich,4,1,2024-08-24,Premier League
southampton,nott'm forest,0,1,2024-08-24,Premier League
tottenham,everton,4,0,2024-08-24,Premier League
aston villa,arsenal,0,2,2024-08-24,Premier League
bournemouth,newcastle,1,1,2024-08-25,Premier League
wolves,chelsea,2,6,2024-08-25,Premier League
liverpool,brentford,2,0,2024-08-25,Premier League
arsenal,brighton,1,1,2024-08-31,Premier League
brentford,southampton,3,1,2024-08-31,Premier League
everton,bournemouth,2,3,2024-08-31,Premier League
ipswich,fulham,1,1,2024-08-31,Premier League
leicester,aston villa,1,2,2024-08-31,Premier League
nott'm forest,wolves,1,1,2024-08-31,Premier League
west ham,man city,1,3,2024-08-31,Premier League
chelsea,crystal palace,1,1,2024-09-01,Premier League
newcastle,tottenham,2,1,2024-09-01,Premier League
man united,liverpool,0,3,2024-09-01,Premier League
southampton,man united,0,3,2024-09-14,Premier League
brighton,ipswich,0,0,2024-09-14,Premier League
crystal palace,leicester,2,2,2024-09-14,Premier League
fulham,west ham,1,1,2024-09-14,Premier League
liverpool,nott'm forest,0,1,2024-09-14,Premier League
man city,brentford,2,1,2024-09-14,Premier League
aston villa,everton,3,2,2024-09-14,Premier League
bournemouth,chelsea,0,1,2024-09-14,Premier League
tottenham,arsenal,0,1,2024-09-15,Premier League
wolves,newcastle,1,2,2024-09-15,Premier League
west ham,chelsea,0,3,2024-09-21,Premier League
aston villa,wolves,3,1,2024-09-21,Premier League
fulham,newcastle,3,1,2024-09-21,Premier League
leicester,everton,1,1,2024-09-21,Premier League
liverpool,bournemouth,3,0,2024-09-21,Premier League
southampton,ipswich,1,1,2024-09-21,Premier League
tottenham,brentford,3,1,2024-09-21,Premier League
crystal palace,man united,0,0,2024-09-21,Premier League
brighton,nott'm forest,2,2,2024-09-22,Premier League
man city,arsenal,2,2,2024-09-22,Premier League
newcastle,man city,1,1,2024-09-28,Premier League
arsenal,leicester,4,2,2024-09-28,Premier League
brentford,west ham,1,1,2024-09-28,Premier League
chelsea,brighton,4,2,2024-09-28,Premier League
everton,crystal palace,2,1,2024-09-28,Premier League
nott'm forest,fulham,0,1,2024-09-28,Premier League
wolves,liverpool,1,2,2024-09-28,Premier League
ipswich,aston villa,2,2,2024-09-29,Premier League
man united,tottenham,0,3,2024-09-29,Premier League
bournemouth,southampton,3,1,2024-09-30,Premier League
crystal palace,liverpool,0,1,2024-10-05,Premier League
arsenal,southampton,3,1,2024-10-05,Premier League
brentford,wolves,5,3,2024-10-05,Premier League
leicester,bournemouth,1,0,2024-10-05,Premier League
man city,fulham,3,2,2024-10-05,Premier League
west ham,ipswich,4,1,2024-10-05,Premier League
everton,newcastle,0,0,2024-10-05,Premier League
aston villa,man united,0,0,2024-10-06,Premier League
chelsea,nott'm forest,1,1,2024-10-06,Premier League
brighton,tottenham,3,2,2024-10-06,Premier League
tottenham,west ham,4,1,2024-10-19,Premier League
fulham,aston villa,1,3,2024-10-19,Premier League
ipswich,everton,0,2,2024-10-19,Premier League
man united,brentford,2,1,2024-10-19,Premier League
newcastle,brighton,0,1,2024-10-19,Premier League
southampton,leicester,2,3,2024-10-19,Premier League
bournemouth,arsenal,2,0,2024-10-19,Premier League
wolves,man city,1,2,2024-10-20,Premier League
liverpool,chelsea,2,1,2024-10-20,Premier League
nott'm forest,crystal palace,1,0,2024-10-21,Premier League
leicester,nott'm forest,1,3,2024-10-25,Premier League
aston villa,bournemouth,1,1,2024-10-26,Premier League
brentford,ipswich,4,3,2024-10-26,Premier League
brighton,wolves,2,2,2024-10-26,Premier League
man city,southampton,1,0,2024-10-26,Premier League
everton,fulham,1,1,2024-10-26,Premier League
chelsea,newcastle,2,1,2024-10-27,Premier League
crystal palace,tottenham,1,0,2024-10-27,Premier League
west ham,man united,2,1,2024-10-27,Premier League
arsenal,liverpool,2,2,2024-10-27,Premier League
newcastle,arsenal,1,0,2024-11-02,Premier League
bournemouth,man city,2,1,2024-11-02,Premier League
ipswich,leicester,1,1,2024-11-02,Premier League
liverpool,brighton,2,1,2024-11-02,Premier League
nott'm forest,west ham,3,0,2024-11-02,Premier League
southampton,everton,1,0,2024-11-02,Premier League
wolves,crystal palace,2,2,2024-11-02,Premier League
tottenham,aston villa,4,1,2024-11-03,Premier League
man united,chelsea,1,1,2024-11-03,Premier League
fulham,brentford,2,1,2024-11-04,Premier League
brentford,bournemouth,3,2,2024-11-09,Premier League
crystal palace,fulham,0,2,2024-11-09,Premier League
west ham,everton,0,0,2024-11-09,Premier League
wolves,southampton,2,0,2024-11-09,Premier League
brighton,man city,2,1,2024-11-09,Premier League
liverpool,aston villa,2,0,2024-11-09,Premier League
man united,leicester,3,0,2024-11-10,Premier League
nott'm forest,newcastle,1,3,2024-11-10,Premier League
tottenham,ipswich,1,2,2024-11-10,Premier League
chelsea,arsenal,1,1,2024-11-10,Premier League
leicester,chelsea,1,2,2024-11-23,Premier League
arsenal,nott'm forest,3,0,2024-11-23,Premier League
aston villa,crystal palace,2,2,2024-11-23,Premier League
bournemouth,brighton,1,2,2024-11-23,Premier League
everton,brentford,0,0,2024-11-23,Premier League
fulham,wolves,1,4,2024-11-23,Premier League
man city,tottenham,0,4,2024-11-23,Premier League
southampton,liverpool,2,3,2024-11-24,Premier League
ipswich,man united,1,1,2024-11-24,Premier League
newcastle,west ham,0,2,2024-11-25,Premier League
brighton,southampton,1,1,2024-11-29,Premier League
brentford,leicester,4,1,2024-11-30,Premier League
crystal palace,newcastle,1,1,2024-11-30,Premier League
nott'm forest,ipswich,1,0,2024-11-30,Premier League
wolves,bournemouth,2,4,2024-11-30,Premier League
west ham,arsenal,2,5,2024-11-30,Premier League
chelsea,aston villa,3,0,2024-12-01,Premier League
man united,everton,4,0,2024-12-01,Premier League
tottenham,fulham,1,1,2024-12-01,Premier League
liverpool,man city,2,0,2024-12-01,Premier League
ipswich,crystal palace,0,1,2024-12-03,Premier League
leicester,west ham,3,1,2024-12-03,Premier League
everton,wolves,4,0,2024-12-04,Premier League
man city,nott'm forest,3,0,2024-12-04,Premier League
newcastle,liverpool,3,3,2024-12-04,Premier League
southampton,chelsea,1,5,2024-12-04,Premier League
arsenal,man united,2,0,2024-12-04,Premier League
aston villa,brentford,3,1,2024-12-04,Premier League
fulham,brighton,3,1,2024-12-05,Premier League
bournemouth,tottenham,1,0,2024-12-05,Premier League
aston villa,southampton,1,0,2024-12-07,Premier League
brentford,newcastle,4,2,2024-12-07,Premier League
crystal palace,man city,2,2,2024-12-07,Premier League
man united,nott'm forest,2,3,2024-12-07,Premier League
fulham,arsenal,1,1,2024-12-08,Premier League
ipswich,bournemouth,1,2,2024-12-08,Premier League
leicester,brighton,2,2,2024-12-08,Premier League
tottenham,chelsea,3,4,2024-12-08,Premier League
west ham,wolves,2,1,2024-12-09,Premier League
arsenal,everton,0,0,2024-12-14,Premier League
liverpool,fulham,2,2,2024-12-14,Premier League
newcastle,leicester,4,0,2024-12-14,Premier League
